# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	7177
#@/user_id	c5dd1731-b25f-4cc2-84c6-bf1978ff09b8
a 	啊	c=3 d=0.0209629 t=7177
bu quan 	不全	c=3 d=1.58237e-11 t=7177
bu shi 	不是	c=5 d=0.00015237 t=7177
bu ting 	不停	c=1 d=8.81268e-14 t=7177
bu tong 	不同	c=5 d=1.87144e-06 t=7177
bu tu 	不吐	c=1 d=6.39605e-08 t=7177
bu xiang 	不想	c=2 d=1.08927e-06 t=7177
bu xiu gang 	不鏽鋼	c=1 d=0.0948935 t=7177
bu xu yao 	不需要	c=2 d=1.90817e-09 t=7177
bu yao 	不要	c=3 d=0.060205 t=7177
bu yong 	不用	c=3 d=5.31951e-08 t=7177
cai 	才	c=5 d=4.25288e-11 t=7177
cai 	菜	c=3 d=0.049251 t=7177
cai liao 	材料	c=1 d=5.05739e-10 t=7177
cai se 	彩色	c=1 d=1.33112e-12 t=7177
can 	殘	c=4 d=1.09944e-11 t=7177
can kao 	參考	c=2 d=7.32205e-08 t=7177
can lie 	慘烈	c=2 d=0.00762307 t=7177
can yue 	殘月	c=11 d=0.011295 t=7177
cang ku 	倉庫	c=6 d=2.3774e-15 t=7177
cao 	草	c=2 d=0.782705 t=7177
cao zuo 	操作	c=15 d=9.08013e-06 t=7177
ce 	側	c=1 d=0.99005 t=7177
ce mian 	側面	c=1 d=3.81308e-11 t=7177
ce shi 	測試	c=1 d=5.11083e-16 t=7177
cha 	差	c=4 d=0.0462751 t=7177
cha jian 	插件	c=6 d=5.51303e-08 t=7177
cha ju 	差距	c=1 d=5.93794e-16 t=7177
cha kan 	查看	c=1 d=0.00481991 t=7177
chan pin 	產品	c=2 d=0.112481 t=7177
chan sheng 	產生	c=2 d=4.94869e-07 t=7177
chan wu 	產物	c=1 d=1.00344e-11 t=7177
chang 	常	c=1 d=0.0020601 t=7177
chang shang 	廠商	c=3 d=7.38512e-08 t=7177
chang shi 	嘗試	c=1 d=5.21053e-08 t=7177
chang shi 	常識	c=5 d=0.000129085 t=7177
chang yong 	常用	c=4 d=0.004967 t=7177
chao 	炒	c=1 d=1.67159e-15 t=7177
che di 	徹底	c=2 d=0.0242764 t=7177
che huo 	車禍	c=1 d=2.61935e-05 t=7177
che pi 	扯皮	c=1 d=0.00755912 t=7177
chen 	陳	c=1 d=2.93249e-10 t=7177
chen dao ming 	陳道明	c=1 d=0.00293808 t=7177
chen mo 	沉默	c=4 d=0.12065 t=7177
cheng 	成	c=20 d=0.286548 t=7177
cheng fa 	乘法	c=1 d=0.0420036 t=7177
cheng fen 	成分	c=2 d=6.10709e-15 t=7177
cheng ren 	成人	c=1 d=0.0485578 t=7177
cheng xu 	程序	c=8 d=0.000649051 t=7177
cheng xu yuan 	程序員	c=5 d=0.000652369 t=7177
chi 	吃	c=1 d=2.17318e-14 t=7177
chi bang 	翅膀	c=1 d=0.00242967 t=7177
chi cun 	尺寸	c=1 d=0.00822975 t=7177
chi fan 	吃飯	c=1 d=8.90125e-14 t=7177
chi pan 	吃盤	c=1 d=0.0071546 t=7177
chong 	重	c=2 d=2.92668e-08 t=7177
chong fu 	重複	c=1 d=1.91685e-08 t=7177
chong gou 	重構	c=1 d=0.501576 t=7177
chong lai 	重來	c=1 d=5.48998e-05 t=7177
chong tu 	衝突	c=2 d=0.04573 t=7177
chong wu 	寵物	c=4 d=1.39096e-07 t=7177
chong xin 	重新	c=3 d=0.000662169 t=7177
chong zhi 	充值	c=1 d=3.38132e-09 t=7177
chu 	出	c=5 d=0.219808 t=7177
chu ci 	楚辭	c=1 d=0.226502 t=7177
chu cuo 	出錯	c=1 d=0.438235 t=7177
chu fa 	出發	c=1 d=9.9569e-09 t=7177
chu fa 	除法	c=2 d=0.0872505 t=7177
chu lai 	出來	c=1 d=3.53022e-16 t=7177
chu le 	除了	c=3 d=5.06602e-06 t=7177
chu li 	處理	c=7 d=0.584694 t=7177
chu xi 	除夕	c=1 d=7.98788e-05 t=7177
chu xian 	出現	c=2 d=9.14924e-06 t=7177
chuang jian 	創建	c=3 d=1.99246e-13 t=7177
chuang kou 	窗口	c=3 d=5.45945e-06 t=7177
chun 	蠢	c=1 d=7.00197e-14 t=7177
chun huo 	蠢貨	c=1 d=1.69161e-08 t=7177
chun qiu 	春秋	c=24 d=4.49157 t=7177
chun xia qiu dong 	春夏秋冬	c=1 d=4.02798e-09 t=7177
ci 	詞	c=2 d=5.45483e-12 t=7177
ci dian 	詞典	c=1 d=4.93252e-10 t=7177
